Southbound,/,Westbound,Northbound,/,Eastbound,,,,,,,,,,,,,,
Non-SunPass,SunPass,Total,,,,,,,,,,,,,,,,,
Direction,Total,,,,,,,,,,,,,,,,,,
Non-SunPass,SunPass,,,,,,,,,,,,,,,,,,
Direction,Total,,,,,,,,,,,,,,,,,,
Man,ORT,Toll,Type,Total,Man,ORT,Toll,Type,Total,Man,ORT,Toll,Type,Total,Man,ORT,Toll,Type,Total
5,5,5,10,1,106,107,117,9,11,20,1,41,42,62,179,,,,
6,16,15,31,2,152,154,185,8,18,26,0,91,91,117,302,,,,
7,15,17,32,2,153,155,187,13,29,42,0,124,124,166,353,,,,
8,25,13,38,2,171,173,211,18,31,49,1,145,146,195,406,,,,
9,36,12,48,2,181,183,231,15,37,52,2,133,135,187,418,,,,
10,46,13,59,3,179,182,241,34,32,66,0,164,164,230,471,,,,
11,26,15,41,3,148,151,192,45,32,77,0,163,163,240,432,,,,
12,46,9,55,5,169,174,229,37,34,71,1,156,157,228,457,,,,
13,49,17,66,5,164,169,235,37,31,68,3,123,126,194,429,,,,
14,30,20,50,3,195,198,248,27,20,47,1,148,149,196,444,,,,
15,28,16,44,6,195,201,245,37,38,75,0,191,191,266,511,,,,
16,39,22,61,6,223,229,290,27,38,65,2,214,216,281,571,,,,
17,38,27,65,2,232,234,299,24,42,66,0,183,183,249,548,,,,
18,25,19,44,0,132,132,176,19,26,45,1,131,132,177,353,,,,
19,19,12,31,0,70,70,101,17,35,52,0,108,108,160,261,,,,
20,5,4,9,2,40,42,51,8,14,22,0,67,67,89,140,,,,
21,4,2,6,0,30,30,36,9,16,25,1,41,42,67,103,,,,
22,4,6,10,0,25,25,35,11,9,20,0,22,22,42,77,,,,
23,4,6,10,0,8,8,18,5,8,13,0,28,28,41,59,,,,
All,Hours,472,256,728,46,"2,641","2,687","3,415",415,520,935,13,"2,359","2,372","3,307","6,722",,,
March,"08,",2018,0,2,1,3,4,9,13,16,5,3,8,0,18,18,26,42,
1,5,3,8,0,12,12,20,2,0,2,0,13,13,15,35,,,,
2,3,2,5,0,8,8,13,5,2,7,0,5,5,12,25,,,,
